TRAFFIC_DATE,TRAFFIC_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,CONTRIBUTING_FACTOR_VEHICLE,REFERENCE_ID,TRAFFIC_VEHICLE_TYPE_CODE 1,TRAFFIC_VEHICLE_TYPE_CODE2,Junction,Label,Results
29-08-20,7:10:00,,,40.674347,-73.82071,POINT (-73.82071 40.674347),118 STREET,,,Passing Too Closely,4342796,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,3,0,0
29-08-20,0:56:00,BRONX,10461.0,40.84307,-73.848076,POINT (-73.848076 40.84307),EAST TREMONT AVENUE,SILVER STREET,,Unsafe Speed,4342715,Box Truck,Motorcycle,4,1,1
29-08-20,13:20:00,,,40.680954,-73.96768,POINT (-73.96768 40.680954),PACIFIC STREET,,,Driver Inexperience,4343433,Sedan,Sedan,1,0,0
29-08-20,17:45:00,,,40.72948,-73.9721,POINT (-73.9721 40.72948),FDR DRIVE,,,Unspecified,4342728,Sedan,,4,1,1
29-08-20,22:11:00,BROOKLYN,11229.0,40.608727,-73.95402,POINT (-73.95402 40.608727),,,1925 QUENTIN ROAD,Driver Inattention/Distraction,4343158,Sedan,Bike,2,0,0
29-08-20,14:00:00,,,40.806293,-73.93603,POINT (-73.93603 40.806293),LEXINGTON AVENUE,,,Unspecified,4343336,Station Wagon/Sport Utility Vehicle,,4,1,1
29-08-20,16:30:00,MANHATTAN,10002.0,40.717056,-73.99027,POINT (-73.99027 40.717056),,,333 GRAND STREET,Failure to Yield Right-of-Way,4343011,Sedan,Station Wagon/Sport Utility Vehicle,2,0,0
29-08-20,11:25:00,BROOKLYN,11221.0,40.68861,-73.92319,POINT (-73.92319 40.68861),,,820 MONROE STREET,Unspecified,4343421,Sedan,,4,1,1
29-08-20,2:20:00,,,40.816204,-73.91423,POINT (-73.91423 40.816204),BROOK AVENUE,,,Driver Inattention/Distraction,4343139,Station Wagon/Sport Utility Vehicle,,1,0,0
29-08-20,5:40:00,BRONX,10458.0,40.85819,-73.88435,POINT (-73.88435 40.85819),EAST FORDHAM ROAD,HUGHES AVENUE,,Other Vehicular,4343352,Sedan,Sedan,5,0,0
29-08-20,18:36:00,BRONX,10459.0,40.82878,-73.88901,POINT (-73.88901 40.82878),HOME STREET,BRYANT AVENUE,,Failure to Yield Right-of-Way,4343219,Sedan,,3,1,1
29-08-20,19:50:00,BRONX,10457.0,40.851753,-73.889435,POINT (-73.889435 40.851753),,,611 EAST 182 STREET,Backing Unsafely,4343350,Taxi,Taxi,2,1,1
29-08-20,17:00:00,BROOKLYN,11214.0,40.612556,-74.00379,POINT (-74.00379 40.612556),,,1612 81 STREET,Driver Inattention/Distraction,4342749,Station Wagon/Sport Utility Vehicle,,1,0,0
29-08-20,21:45:00,BROOKLYN,11203.0,40.652462,-73.92285,POINT (-73.92285 40.652462),KINGS HIGHWAY,CHURCH AVENUE,,Unspecified,4343396,Sedan,Motorbike,3,0,0
29-08-20,14:30:00,BRONX,10453.0,40.855785,-73.90558,POINT (-73.90558 40.855785),JEROME AVENUE,WEST 181 STREET,,Unspecified,4343377,Sedan,Sedan,2,1,1
29-08-20,20:51:00,QUEENS,11411.0,40.694534,-73.74045,POINT (-73.74045 40.694534),,,117-39 220 STREET,Unspecified,4342767,Sedan,,4,0,0
29-08-20,17:17:00,,,40.68719,-73.974625,POINT (-73.974625 40.68719),LAFAYETTE AVENUE,,,Driver Inattention/Distraction,4343042,Station Wagon/Sport Utility Vehicle,Sedan,2,1,1
29-08-20,20:53:00,BRONX,10456.0,40.831482,-73.89976,POINT (-73.89976 40.831482),,,1315 BOSTON ROAD,Failure to Yield Right-of-Way,4343192,Sedan,Station Wagon/Sport Utility Vehicle,1,1,1
29-08-20,19:34:00,MANHATTAN,10032.0,40.838158,-73.94298,POINT (-73.94298 40.838158),,,619 WEST 163 STREET,Unspecified,4343050,Bike,Motorcycle,3,0,0
29-08-20,0:00:00,BRONX,10466.0,40.895134,-73.85216,POINT (-73.85216 40.895134),DIGNEY AVENUE,PITMAN AVENUE,,Unspecified,4343251,Sedan,,4,0,0
29-08-20,15:50:00,BROOKLYN,11226.0,40.637276,-73.958595,POINT (-73.958595 40.637276),,,1030 OCEAN AVENUE,Driver Inattention/Distraction,4342811,Sedan,Sedan,2,1,1
29-08-20,0:00:00,,,40.730446,-73.98035,POINT (-73.98035 40.730446),EAST 14 STREET,,,Driver Inattention/Distraction,4342672,Sedan,Station Wagon/Sport Utility Vehicle,3,1,1
29-08-20,14:17:00,,,,,,GRAND CENTRAL PARKWAY,,,Unspecified,4343390,Sedan,,1,0,0
29-08-20,19:39:00,,,40.582977,-73.98042,POINT (-73.98042 40.582977),BELT PARKWAY,,,Failure to Keep Right,4342752,Station Wagon/Sport Utility Vehicle,Sedan,2,0,0
29-08-20,17:00:00,QUEENS,11356.0,40.781647,-73.833664,POINT (-73.833664 40.781647),,,135-06 20 AVENUE,Unspecified,4342772,Station Wagon/Sport Utility Vehicle,,1,1,1
29-08-20,9:09:00,BROOKLYN,11236.0,40.64323,-73.90525,POINT (-73.90525 40.64323),,,9312 GLENWOOD ROAD,Unspecified,4342893,Station Wagon/Sport Utility Vehicle,Sedan,3,1,1
29-08-20,18:20:00,,,40.77008,-73.94784,POINT (-73.94784 40.77008),FDR DRIVE,,,Unsafe Speed,4342730,Sedan,Sedan,4,0,0
29-08-20,11:10:00,QUEENS,11105.0,40.772854,-73.90607,POINT (-73.90607 40.772854),STEINWAY STREET,DITMARS BOULEVARD,,Unspecified,4342791,Sedan,Sedan,1,1,1
29-08-20,12:30:00,BRONX,10461.0,40.848183,-73.84981,POINT (-73.84981 40.848183),,,1660 WILLIAMSBRIDGE ROAD,Following Too Closely,4343262,Sedan,,3,0,0
29-08-20,23:44:00,,,40.7025,-73.91633,POINT (-73.91633 40.7025),HARMAN STREET,,,Unspecified,4343510,Sedan,Bike,2,1,1
29-08-20,15:41:00,BROOKLYN,11234.0,40.61756,-73.91493,POINT (-73.91493 40.61756),AVENUE T,EAST 63 STREET,,Unspecified,4343227,Station Wagon/Sport Utility Vehicle,Sedan,3,0,0
29-08-20,7:30:00,,,,,,NEW ENGLAND THRUWAY,,,Unsafe Speed,4342696,Station Wagon/Sport Utility Vehicle,,2,1,1
29-08-20,0:57:00,,,40.858707,-73.9037,POINT (-73.9037 40.858707),JEROME AVENUE,,,Unspecified,4343376,Sedan,Motorcycle,1,1,1
